ID,RUN,Trial ,PostRT,PreRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,Order_Session,PreITI1duration,PostITI1duration
10823,1,RUN1-2,344,789,Source hit,1,1,1,Stimuli\womenwashroomsign.jpg,Left,Building infrastructure,2,4000,6000
10823,1,RUN1-3,0,344,Source hit,1,1,1,Stimuli\button01.jpg,Right,Clothing,2,6000,2000
10823,1,RUN1-4,687,0,Source hit,1,1,1,Stimuli\snowman.jpg,Left,Outdoor & sport,2,2000,2000
10823,1,RUN1-5,275,687,Source hit,1,1,1,Stimuli\blackolive.jpg,Right,Food,2,2000,6000
10823,1,RUN1-6,407,275,Source hit,1,1,1,Stimuli\poloshirt.jpg,Left,Clothing,2,6000,2000
10823,1,RUN1-7,514,407,Source hit,1,1,1,Stimuli\saxophone.jpg,Right,Musical instrument,2,2000,4000
10823,1,RUN1-8,493,514,Source hit,1,1,1,Stimuli\plasticgallon.jpg,Left,Household article,2,4000,6000
10823,1,RUN1-9,553,493,miss,4,0,0,Stimuli\rowboat.jpg,Right,Vehicle,2,6000,6000
10823,1,RUN1-10,482,553,Source hit,1,1,1,Stimuli\flyswatter.jpg,Left,Household article,2,6000,2000
10823,1,RUN1-11,544,482,Source hit,1,1,1,Stimuli\8ball.jpg,Left,Game & entertainment,2,2000,2000
10823,1,RUN1-12,588,544,Source hit,1,1,1,Stimuli\scotchtape.jpg,Right,Stationary,2,2000,6000
10823,1,RUN1-13,301,588,Source hit,1,1,1,Stimuli\springroll.jpg,Right,Food,2,6000,4000
10823,1,RUN1-14,687,301,Source hit,1,1,1,Stimuli\gearshift.jpg,Right,Vehicle,2,4000,6000
10823,1,RUN1-15,953,687,Source hit,1,1,1,Stimuli\pilgrimhat.jpg,Right,Clothing,2,6000,4000
10823,1,RUN1-16,388,953,Source hit,1,1,1,Stimuli\cookiecutter.jpg,Right,Kitchen,2,4000,4000
10823,1,RUN1-17,500,388,Source hit,1,1,1,Stimuli\rearviewmirror.jpg,Left,Vehicle,2,4000,4000
10823,1,RUN1-18,515,500,Source hit,1,1,1,Stimuli\remotecontrol04.jpg,Right,Electronics,2,4000,6000
10823,1,RUN1-19,508,515,No response,0,0,0,Stimuli\speedball.jpg,Left,Outdoor & sport,2,6000,4000
10823,1,RUN1-20,289,508,Source hit,1,1,1,Stimuli\audiocablesplitter.jpg,Left,Electronics,2,4000,4000
