Index,ID,RUN,Trial,PreRT,PostRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,RET_RT,Order_Session,PreITI1duration,PostITI1duration
1,10823,1,RUN1-2,789,344,Source hit,1,1,1,Stimuli\womenwashroomsign.jpg,Left,Building infrastructure,710,2,4000,6000
2,10823,1,RUN1-3,344,0,Source hit,1,1,1,Stimuli\button01.jpg,Right,Clothing,1166,2,6000,2000
3,10823,1,RUN1-4,0,687,Source hit,1,1,1,Stimuli\snowman.jpg,Left,Outdoor & sport,814,2,2000,2000
4,10823,1,RUN1-5,687,275,Source hit,1,1,1,Stimuli\blackolive.jpg,Right,Food,910,2,2000,6000
5,10823,1,RUN1-6,275,407,Source hit,1,1,1,Stimuli\poloshirt.jpg,Left,Clothing,920,2,6000,2000
6,10823,1,RUN1-7,407,514,Source hit,1,1,1,Stimuli\saxophone.jpg,Right,Musical instrument,1069,2,2000,4000
7,10823,1,RUN1-8,514,493,Source hit,1,1,1,Stimuli\plasticgallon.jpg,Left,Household article,815,2,4000,6000
8,10823,1,RUN1-9,493,553,miss,4,0,0,Stimuli\rowboat.jpg,Right,Vehicle,2383,2,6000,6000
9,10823,1,RUN1-10,553,482,Source hit,1,1,1,Stimuli\flyswatter.jpg,Left,Household article,893,2,6000,2000
10,10823,1,RUN1-11,482,544,Source hit,1,1,1,Stimuli\8ball.jpg,Left,Game & entertainment,819,2,2000,2000
11,10823,1,RUN1-12,544,588,Source hit,1,1,1,Stimuli\scotchtape.jpg,Right,Stationary,1130,2,2000,6000
12,10823,1,RUN1-13,588,301,Source hit,1,1,1,Stimuli\springroll.jpg,Right,Food,1352,2,6000,4000
13,10823,1,RUN1-14,301,687,Source hit,1,1,1,Stimuli\gearshift.jpg,Right,Vehicle,1400,2,4000,6000
14,10823,1,RUN1-15,687,953,Source hit,1,1,1,Stimuli\pilgrimhat.jpg,Right,Clothing,683,2,6000,4000
15,10823,1,RUN1-16,953,388,Source hit,1,1,1,Stimuli\cookiecutter.jpg,Right,Kitchen,1845,2,4000,4000
16,10823,1,RUN1-17,388,500,Source hit,1,1,1,Stimuli\rearviewmirror.jpg,Left,Vehicle,931,2,4000,4000
17,10823,1,RUN1-18,500,515,Source hit,1,1,1,Stimuli\remotecontrol04.jpg,Right,Electronics,1059,2,4000,6000
18,10823,1,RUN1-19,515,508,No response,0,0,0,Stimuli\speedball.jpg,Left,Outdoor & sport,0,2,6000,4000
19,10823,1,RUN1-20,508,289,Source hit,1,1,1,Stimuli\audiocablesplitter.jpg,Left,Electronics,867,2,4000,4000
20,10823,1,RUN1-21,289,336,Source hit,1,1,1,Stimuli\crumpledpaper.jpg,Left,Stationary,1368,2,4000,4000
21,10823,1,RUN1-22,336,283,Source hit,1,1,1,Stimuli\airhockeytable.jpg,Right,Game & entertainment,989,2,4000,4000
22,10823,1,RUN1-23,283,556,Source hit,1,1,1,Stimuli\key07.jpg,Right,Household article,962,2,4000,6000
23,10823,1,RUN1-24,556,648,Source hit,1,1,1,Stimuli\gift01.jpg,Left,Decorations & Gift,874,2,6000,2000
24,10823,1,RUN1-25,648,303,Source hit,1,1,1,Stimuli\musicsheet.jpg,Left,Musical instrument,900,2,2000,6000
25,10823,1,RUN1-26,303,466,Source hit,1,1,1,Stimuli\espressomachine.jpg,Left,Kitchen,946,2,6000,6000
26,10823,1,RUN1-27,466,258,Source hit,1,1,1,Stimuli\sravelmug.jpg,Left,Kitchen,953,2,6000,6000
27,10823,1,RUN1-28,258,669,Source hit,1,1,1,Stimuli\mushroom01.jpg,Left,Food,1258,2,6000,2000
28,10823,1,RUN1-29,669,268,Source hit,1,1,1,Stimuli\icebucket.jpg,Right,Kitchen,1021,2,2000,6000
29,10823,1,RUN1-30,268,310,Source hit,1,1,1,Stimuli\payphone.jpg,Left,Electronics,1069,2,6000,6000
30,10823,1,RUN1-31,310,909,Source hit,1,1,1,Stimuli\bowlingball.jpg,Right,Outdoor & sport,1324,2,6000,2000
31,10823,1,RUN1-32,909,511,Source hit,1,1,1,Stimuli\bumpercar.jpg,Left,Vehicle,1107,2,2000,2000
32,10823,1,RUN1-33,511,390,Source hit,1,1,1,Stimuli\guitarcase.jpg,Left,Musical instrument,1377,2,2000,2000
